recipe_id,variant,fnri_review,existing_related_food_ids,decision
PH_DISH_011,"Sinigang na baboy, lean shoulder, tamarind and vegetables",Full retained PhilFCT catalog reviewed; no exact home-prepared formulation with these ingredient weights. Canned/specialized versions remain distinct.,,Explicit ingredient estimate; do not overwrite or inherit a related record.
PH_DISH_012,"Sinigang na hipon, peeled shrimp and tamarind",Full retained PhilFCT catalog reviewed; no exact home-prepared formulation with these ingredient weights. Canned/specialized versions remain distinct.,,Explicit ingredient estimate; do not overwrite or inherit a related record.
PH_DISH_013,"Nilagang baka, shank, cabbage and potato",Full retained PhilFCT catalog reviewed; no exact home-prepared formulation with these ingredient weights. Canned/specialized versions remain distinct.,,Explicit ingredient estimate; do not overwrite or inherit a related record.
PH_DISH_014,"Nilagang baboy, lean shoulder and pechay",Full retained PhilFCT catalog reviewed; no exact home-prepared formulation with these ingredient weights. Canned/specialized versions remain distinct.,,Explicit ingredient estimate; do not overwrite or inherit a related record.
PH_DISH_015,"Ginisang monggo, malunggay, no meat",Full retained PhilFCT catalog reviewed; no exact home-prepared formulation with these ingredient weights. Canned/specialized versions remain distinct.,,Explicit ingredient estimate; do not overwrite or inherit a related record.
PH_DISH_016,"Ginisang monggo, pork belly and malunggay",Full retained PhilFCT catalog reviewed; no exact home-prepared formulation with these ingredient weights. Canned/specialized versions remain distinct.,,Explicit ingredient estimate; do not overwrite or inherit a related record.
PH_DISH_017,"Ginisang monggo, peeled shrimp and malunggay",Full retained PhilFCT catalog reviewed; no exact home-prepared formulation with these ingredient weights. Canned/specialized versions remain distinct.,,Explicit ingredient estimate; do not overwrite or inherit a related record.
PH_DISH_018,"Ginisang monggo, canned sardines in tomato sauce",Full retained PhilFCT catalog reviewed; no exact home-prepared formulation with these ingredient weights. Canned/specialized versions remain distinct.,,Explicit ingredient estimate; do not overwrite or inherit a related record.
PH_DISH_019,"Pinakbet, shrimp paste, no pork",Full retained PhilFCT catalog reviewed; no exact home-prepared formulation with these ingredient weights. Canned/specialized versions remain distinct.,,Explicit ingredient estimate; do not overwrite or inherit a related record.
PH_DISH_020,"Pinakbet, pork belly and shrimp paste",Full retained PhilFCT catalog reviewed; no exact home-prepared formulation with these ingredient weights. Canned/specialized versions remain distinct.,,Explicit ingredient estimate; do not overwrite or inherit a related record.
PH_DISH_021,"Ginataang kalabasa at sitaw, no meat",Full retained PhilFCT catalog reviewed; no exact home-prepared formulation with these ingredient weights. Canned/specialized versions remain distinct.,,Explicit ingredient estimate; do not overwrite or inherit a related record.
PH_DISH_022,"Ginataang kalabasa at sitaw, peeled shrimp",Full retained PhilFCT catalog reviewed; no exact home-prepared formulation with these ingredient weights. Canned/specialized versions remain distinct.,,Explicit ingredient estimate; do not overwrite or inherit a related record.
PH_DISH_023,"Laing, boiled taro leaves and coconut milk, no meat",Full retained PhilFCT catalog reviewed; no exact home-prepared formulation with these ingredient weights. Canned/specialized versions remain distinct.,,Explicit ingredient estimate; do not overwrite or inherit a related record.
PH_DISH_024,"Laing, boiled taro leaves, pork belly and coconut milk",Full retained PhilFCT catalog reviewed; no exact home-prepared formulation with these ingredient weights. Canned/specialized versions remain distinct.,,Explicit ingredient estimate; do not overwrite or inherit a related record.
PH_DISH_025,"Ginisang sayote, white chicken meat",Full retained PhilFCT catalog reviewed; no exact home-prepared formulation with these ingredient weights. Canned/specialized versions remain distinct.,,Explicit ingredient estimate; do not overwrite or inherit a related record.
PH_DISH_026,"Ginisang sayote, egg",Full retained PhilFCT catalog reviewed; no exact home-prepared formulation with these ingredient weights. Canned/specialized versions remain distinct.,,Explicit ingredient estimate; do not overwrite or inherit a related record.
PH_DISH_027,"Ginisang ampalaya, egg and tomato",Full retained PhilFCT catalog reviewed; no exact home-prepared formulation with these ingredient weights. Canned/specialized versions remain distinct.,,Explicit ingredient estimate; do not overwrite or inherit a related record.
PH_DISH_028,"Ginisang upo, peeled shrimp",Full retained PhilFCT catalog reviewed; no exact home-prepared formulation with these ingredient weights. Canned/specialized versions remain distinct.,,Explicit ingredient estimate; do not overwrite or inherit a related record.
PH_DISH_029,"Ginisang pechay, tofu",Full retained PhilFCT catalog reviewed; no exact home-prepared formulation with these ingredient weights. Canned/specialized versions remain distinct.,,Explicit ingredient estimate; do not overwrite or inherit a related record.
PH_DISH_030,"Tortang talong, egg, no meat",Full retained PhilFCT catalog reviewed; no exact home-prepared formulation with these ingredient weights. Canned/specialized versions remain distinct.,,Explicit ingredient estimate; do not overwrite or inherit a related record.
PH_DISH_031,"Tortang talong, ground pork and egg",Full retained PhilFCT catalog reviewed; no exact home-prepared formulation with these ingredient weights. Canned/specialized versions remain distinct.,,Explicit ingredient estimate; do not overwrite or inherit a related record.
PH_DISH_032,"Giniling na baka, 90 percent lean beef, tomato and potato",Full retained PhilFCT catalog reviewed; no exact home-prepared formulation with these ingredient weights. Canned/specialized versions remain distinct.,FC000034,Explicit ingredient estimate; do not overwrite or inherit a related record.
PH_DISH_033,"Giniling na baboy, tomato and potato",Full retained PhilFCT catalog reviewed; no exact home-prepared formulation with these ingredient weights. Canned/specialized versions remain distinct.,FC000040,Explicit ingredient estimate; do not overwrite or inherit a related record.
PH_DISH_034,"Menudong baboy, lean shoulder and liver",Full retained PhilFCT catalog reviewed; no exact home-prepared formulation with these ingredient weights. Canned/specialized versions remain distinct.,,Explicit ingredient estimate; do not overwrite or inherit a related record.
PH_DISH_035,"Afritadang manok, white meat",Full retained PhilFCT catalog reviewed; no exact home-prepared formulation with these ingredient weights. Canned/specialized versions remain distinct.,,Explicit ingredient estimate; do not overwrite or inherit a related record.
PH_DISH_036,"Afritadang baboy, lean shoulder",Full retained PhilFCT catalog reviewed; no exact home-prepared formulation with these ingredient weights. Canned/specialized versions remain distinct.,FC001040,Explicit ingredient estimate; do not overwrite or inherit a related record.
PH_DISH_037,"Mechadong baka, lean chuck, unlarded",Full retained PhilFCT catalog reviewed; no exact home-prepared formulation with these ingredient weights. Canned/specialized versions remain distinct.,,Explicit ingredient estimate; do not overwrite or inherit a related record.
PH_DISH_038,"Kalderetang baka, lean chuck, pork liver and cheese",Full retained PhilFCT catalog reviewed; no exact home-prepared formulation with these ingredient weights. Canned/specialized versions remain distinct.,FC000631,Explicit ingredient estimate; do not overwrite or inherit a related record.
PH_DISH_039,"Kare-kare, lean beef and tripe, peanut, no bagoong on side",Full retained PhilFCT catalog reviewed; no exact home-prepared formulation with these ingredient weights. Canned/specialized versions remain distinct.,,Explicit ingredient estimate; do not overwrite or inherit a related record.
PH_DISH_040,"Bicol Express, pork belly, coconut milk and shrimp paste",Full retained PhilFCT catalog reviewed; no exact home-prepared formulation with these ingredient weights. Canned/specialized versions remain distinct.,,Explicit ingredient estimate; do not overwrite or inherit a related record.
PH_DISH_041,"Pancit bihon, white chicken meat and vegetables",Full retained PhilFCT catalog reviewed; no exact home-prepared formulation with these ingredient weights. Canned/specialized versions remain distinct.,,Explicit ingredient estimate; do not overwrite or inherit a related record.
PH_DISH_042,"Pancit bihon, peeled shrimp and vegetables",Full retained PhilFCT catalog reviewed; no exact home-prepared formulation with these ingredient weights. Canned/specialized versions remain distinct.,,Explicit ingredient estimate; do not overwrite or inherit a related record.
PH_DISH_043,"Pancit sotanghon, white chicken meat and vegetables",Full retained PhilFCT catalog reviewed; no exact home-prepared formulation with these ingredient weights. Canned/specialized versions remain distinct.,,Explicit ingredient estimate; do not overwrite or inherit a related record.
PH_DISH_044,"Pancit miki, lean pork and vegetables",Full retained PhilFCT catalog reviewed; no exact home-prepared formulation with these ingredient weights. Canned/specialized versions remain distinct.,,Explicit ingredient estimate; do not overwrite or inherit a related record.
PH_DISH_045,"Arroz caldo, white chicken meat and ginger",Full retained PhilFCT catalog reviewed; no exact home-prepared formulation with these ingredient weights. Canned/specialized versions remain distinct.,,Explicit ingredient estimate; do not overwrite or inherit a related record.
PH_DISH_046,"Goto, beef tripe and ginger",Full retained PhilFCT catalog reviewed; no exact home-prepared formulation with these ingredient weights. Canned/specialized versions remain distinct.,,Explicit ingredient estimate; do not overwrite or inherit a related record.
PH_DISH_047,"Lugaw, plain rice, ginger, no meat",Full retained PhilFCT catalog reviewed; no exact home-prepared formulation with these ingredient weights. Canned/specialized versions remain distinct.,,Explicit ingredient estimate; do not overwrite or inherit a related record.
PH_DISH_048,"Tokwat baboy, tofu and lean pork, vinegar soy dressing",Full retained PhilFCT catalog reviewed; no exact home-prepared formulation with these ingredient weights. Canned/specialized versions remain distinct.,,Explicit ingredient estimate; do not overwrite or inherit a related record.
PH_DISH_049,"Bangsilog, broiled bangus, fried rice and egg",Full retained PhilFCT catalog reviewed; no exact home-prepared formulation with these ingredient weights. Canned/specialized versions remain distinct.,,Explicit ingredient estimate; do not overwrite or inherit a related record.
PH_DISH_050,"Chicksilog, fried white chicken, fried rice and egg",Full retained PhilFCT catalog reviewed; no exact home-prepared formulation with these ingredient weights. Canned/specialized versions remain distinct.,,Explicit ingredient estimate; do not overwrite or inherit a related record.
